Malic acid	4.0	5.0	4.0	4.0	3.0	7.0	5.0	5.0	6.0	5.0	6.0	5.0	3.0	4.0	4.0	5.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	4.0	5.0	3.0	0	4.0	2.0	5.0	5.0	4.0	5.0	3.0	5.0	2.0	4.0	5.0	3.0	5.0	7.0	4.0	5
Dopamine sulfate	6.0	7.0	6.0	6.0	5.0	9.0	7.0	4.0	5.0	7.0	5.0	7.0	6.0	6.0	5.0	7.0	7.0	8.0	3.0	5.0	7.0	6.0	6.0	6.0	5.0	5.0	4.0	0	5.0	5.0	8.0	6.0	4.0	5.0	7.0	4.0	7.0	7.0	5.0	7.0	6.0	6.0	7
Citric acid	3.0	4.0	3.0	4.0	2.0	6.0	6.0	5.0	6.0	4.0	6.0	6.0	1.0	3.0	3.0	4.0	4.0	6.0	5.0	2.0	4.0	3.0	5.0	5.0	4.0	2.0	2.0	5.0	0	5.0	6.0	5.0	5.0	2.0	6.0	3.0	4.0	5.0	4.0	4.0	7.0	3.0	4
Methylthioadenosine	6.0	6.0	6.0	5.0	5.0	7.0	6.0	3.0	4.0	6.0	4.0	8.0	6.0	6.0	4.0	6.0	6.0	6.0	5.0	4.0	5.0	6.0	6.0	3.0	4.0	5.0	5.0	5.0	5.0	0	5.0	6.0	6.0	4.0	6.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	6
Xanthine	7.0	7.0	7.0	6.0	6.0	7.0	7.0	5.0	7.0	7.0	7.0	9.0	7.0	7.0	7.0	7.0	7.0	1.0	8.0	4.0	6.0	7.0	6.0	2.0	4.0	6.0	5.0	8.0	6.0	5.0	0	6.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7
Kynurenine	6.0	6.0	6.0	4.0	3.0	8.0	6.0	5.0	7.0	6.0	5.0	7.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0	2.0	6.0	7.0	5.0	4.0	6.0	5.0	6.0	6.0	0	5.0	5.0	7.0	4.0	6.0	5.0	5.0	6.0	7.0	6.0	7
Phenylalanine	6.0	5.0	6.0	3.0	4.0	9.0	5.0	4.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	6.0	7.0	6.0	5.0	7.0	7.0	5.0	5.0	4.0	5.0	6.0	7.0	5.0	0	5.0	7.0	5.0	5.0	4.0	6.0	5.0	6.0	6.0	7
N-acetyl-methionine	3.0	4.0	3.0	4.0	2.0	6.0	5.0	3.0	4.0	4.0	4.0	6.0	3.0	3.0	3.0	4.0	4.0	6.0	5.0	3.0	4.0	3.0	5.0	5.0	4.0	2.0	3.0	5.0	2.0	4.0	6.0	5.0	5.0	0	6.0	3.0	4.0	5.0	4.0	4.0	5.0	3.0	4
Panthotenic acid	7.0	6.0	6.0	6.0	6.0	9.0	7.0	6.0	7.0	6.0	7.0	8.0	7.0	6.0	7.0	6.0	6.0	8.0	7.0	6.0	6.0	7.0	7.0	6.0	8.0	6.0	5.0	7.0	6.0	6.0	7.0	7.0	7.0	6.0	0	5.0	6.0	7.0	6.0	6.0	8.0	6.0	8
N-acetylneuraminic acid	4.0	5.0	4.0	4.0	3.0	7.0	5.0	5.0	6.0	5.0	6.0	5.0	4.0	4.0	4.0	5.0	5.0	7.0	4.0	3.0	5.0	2.0	4.0	6.0	5.0	3.0	2.0	4.0	3.0	6.0	7.0	4.0	5.0	3.0	5.0	0	5.0	5.0	3.0	5.0	7.0	4.0	5
Glutamine	5.0	5.0	5.0	4.0	4.0	8.0	4.0	5.0	7.0	1.0	7.0	7.0	4.0	5.0	5.0	5.0	5.0	6.0	6.0	3.0	5.0	5.0	6.0	6.0	7.0	4.0	4.0	7.0	4.0	6.0	7.0	6.0	5.0	4.0	6.0	5.0	0	5.0	6.0	5.0	7.0	5.0	6
Porphobilinogen	5.0	5.0	5.0	3.0	4.0	9.0	5.0	4.0	6.0	5.0	6.0	6.0	5.0	4.0	6.0	5.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	7.0	7.0	5.0	5.0	7.0	5.0	6.0	7.0	5.0	4.0	5.0	7.0	5.0	5.0	0	6.0	5.0	6.0	4.0	7
Glyceric acid	5.0	6.0	5.0	5.0	4.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	5.0	5.0	5.0	6.0	6.0	8.0	5.0	4.0	6.0	5.0	5.0	7.0	4.0	4.0	3.0	5.0	4.0	7.0	7.0	5.0	6.0	4.0	6.0	3.0	6.0	6.0	0	6.0	8.0	5.0	6
Isovalerylcarnitine	1.0	4.0	2.0	4.0	4.0	8.0	6.0	5.0	7.0	4.0	7.0	7.0	5.0	2.0	5.0	2.0	2.0	7.0	6.0	5.0	2.0	5.0	6.0	6.0	7.0	2.0	5.0	7.0	4.0	6.0	7.0	6.0	5.0	4.0	6.0	5.0	5.0	5.0	6.0	0	7.0	4.0	6
Creatinine	8.0	7.0	8.0	5.0	6.0	10.0	7.0	2.0	5.0	8.0	5.0	8.0	8.0	8.0	5.0	8.0	8.0	6.0	6.0	6.0	7.0	8.0	7.0	6.0	7.0	7.0	7.0	6.0	7.0	5.0	7.0	7.0	6.0	5.0	8.0	7.0	7.0	6.0	8.0	7.0	0	8.0	9
Adipic acid	3.0	4.0	4.0	4.0	3.0	7.0	7.0	6.0	7.0	4.0	7.0	7.0	4.0	2.0	4.0	4.0	4.0	7.0	6.0	4.0	4.0	4.0	6.0	6.0	6.0	3.0	4.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	6.0	4.0	5.0	4.0	5.0	4.0	8.0	0	5
4-Acetamidobutanoic acid	5.0	6.0	5.0	6.0	4.0	8.0	8.0	7.0	8.0	6.0	8.0	8.0	5.0	5.0	5.0	6.0	6.0	6.0	7.0	5.0	6.0	5.0	7.0	7.0	7.0	4.0	5.0	7.0	4.0	6.0	7.0	7.0	7.0	4.0	8.0	5.0	6.0	7.0	6.0	6.0	9.0	5.0	0
